date,country,party,pos_corpus,topic,direction,text
200411,61,61320,2,NA,NA,"As we come together to declare our vision as Democrats, we are mindful that the challenges of our times are new and profound."
200411,61,61320,3,NA,NA,"This November, the choice we face as Americans may have more impact on our people and our place in the world than any in our lifetimes."
200411,61,61320,4,NA,NA,"We approach this task with a seriousness that matches the challenges before us, but also with a profound optimism about our future - an optimism that springs from our great faith in America, and our great pride in what it means to be Americans."
200411,61,61320,5,NA,NA,We know the stakes are immeasurably high.
200411,61,61320,6,NA,NA,"For the first time in generations, we have been attacked on our own shores."
200411,61,61320,7,NA,NA,"Our brave men and women in uniform are still in harm's way in Iraq, Afghanistan, and the war against terror."
200411,61,61320,8,NA,NA,"Our alliances are frayed, our credibility in doubt."
200411,61,61320,9,NA,NA,Our great middle class is hard-pressed.
200411,61,61320,10,NA,NA,"Millions of Americans have lost their jobs, and millions more are struggling under the mounting burden of life's everyday costs."
200411,61,61320,11,NA,NA,"In Washington, the President and his allies stubbornly press on, without regard to the needs of our people or the challenges of our times."
200411,61,61320,12,NA,NA,It is time for a new direction.
200411,61,61320,13,NA,NA,"John Kerry, John Edwards and the Democratic Party bring a new vision for America - strong at home, respected abroad."
200411,61,61320,14,NA,NA,"An America that offers opportunity, rewards responsibility, and rejoices in diversity."
200411,61,61320,15,NA,NA,"We have a plan to build a strong, respected America: protecting our people, rebuilding our alliances, and leading the way to a more peaceful and prosperous world."
200411,61,61320,16,NA,NA,"We have a plan to build a strong, growing economy: creating good jobs, rewarding hard work, and restoring fiscal discipline."
200411,61,61320,17,NA,NA,"We have a plan to help our people build strong, healthy families: securing quality health care, offering world-class education, and ensuring clean air and water."
200411,61,61320,18,NA,NA,"And we will honor the values of a strong American community: widening the circle of equality, protecting the sanctity of freedom, and deepening our commitment to this country."
200411,61,61320,19,NA,NA,"In offering this vision, we affirm our faith in the greatness of America."
200411,61,61320,20,NA,NA,"We recommit to the ideal of a people united in helping one another, an ideal as old as the faiths we follow and as great as the country we love."
200411,61,61320,21,NA,NA,"To those who are threatened, we pledge protection; to those who are victims, we promise justice; to those who are hopeless, we offer hope."
200411,61,61320,22,NA,NA,"And to all Americans who seek a better future for themselves, for their loved ones, and for our country, we say: your cause is our own."
200411,61,61320,23,NA,NA,That is the America we believe in.
200411,61,61320,24,NA,NA,That is the America we are fighting for.
200411,61,61320,25,NA,NA,"That is the America we will build together - one nation, under God, indivisible, with liberty and justice for all."
200411,61,61320,27,NA,NA,"Alone among nations, America was born in pursuit of an idea - that a free people with diverse beliefs could govern themselves in peace."
200411,61,61320,28,NA,NA,"For more than a century, America has spared no effort to defend and promote that idea around the world."
200411,61,61320,29,NA,NA,"And over and over, that effort has been marked by the exercise of American leadership to forge powerful alliances based on mutual respect with longtime allies and reluctant friends; with nations already living in the light of democracy and with peoples struggling to join them."
200411,61,61320,30,NA,NA,"The might of our alliances, coupled with the strength of our democratic ideals, has been a driving force in the survival and success of freedom - in two World Wars, in the Korean War, in the Cold War, in the Gulf War and in Kosovo."
200411,61,61320,31,NA,NA,America led instead of going it alone.
200411,61,61320,32,NA,NA,"We extended a hand, not a fist."
200411,61,61320,33,NA,NA,We respected the world - and the world respected us.
200411,61,61320,34,NA,NA,"As Americans, we respect and honor our veterans."
200411,61,61320,35,NA,NA,We are indebted to all those courageous men and women who have answered our country's call to duty.
200411,61,61320,36,NA,NA,"Their service and sacrifice, their dedication and love of country advance our cause of freedom and uphold our finest traditions as a nation."
200411,61,61320,37,NA,NA,That is the America we believe in.
200411,61,61320,38,NA,NA,That is the America we are fighting for.
200411,61,61320,39,NA,NA,And that is the America we can be.
200411,61,61320,40,NA,NA,But the Bush Administration has walked away from more than a hundred years of American leadership in the world to embrace a new - and dangerously ineffective - disregard for the world.
200411,61,61320,41,NA,NA,They rush to force before exhausting diplomacy.
200411,61,61320,42,NA,NA,They bully rather than persuade.
200411,61,61320,43,NA,NA,They act alone when they could assemble a team.
200411,61,61320,44,NA,NA,They hope for the best when they should prepare for the worst.
200411,61,61320,45,NA,NA,"Time and again, this Administration confuses leadership with going it alone and engagement with compromise of principle."
200411,61,61320,46,NA,NA,They do not understand that real leadership means standing by your principles and rallying others to join you.
200411,61,61320,47,NA,NA,"John Kerry, John Edwards and the Democratic Party believe in a better, stronger America - an America that is respected, not just feared, and an America that listens and leads."
200411,61,61320,48,NA,NA,"Our vision has deep roots in our Declaration of Independence and Franklin Delano Roosevelt's Four Freedoms,"
