date,party,pos_corpus,topic,direction,text
200611,22110,1,NA,NA,De wereld is klein.
200611,22110,2,NA,NA,Globalisering verbindt ons allen.
200611,22110,3,NA,NA,We zijn in het dagelijks leven nauw verweven met Europa en de andere continenten.
200611,22110,4,NA,NA,Jongeren MSNen met vrienden over de hele wereld.
200611,22110,5,2,1,Europese scholieren en studenten lopen steeds vaker een tijdje stage in een ander land van de Europese Unie.
200611,22110,6,1,1,"Onze buren komen uit Turkije of Marokko, maar ook uit Engeland of Duitsland."
200611,22110,7,NA,NA,De pensionado zoekt de warmte op in Spanje.
200611,22110,8,NA,NA,Ondernemers verkopen hun producten ver over de grenzen.
200611,22110,9,NA,NA,"Als praktisch idealisten komen velen in actie, zoals de mensen die weeshuizen stichten in arme landen."
200611,22110,10,NA,NA,"Producten, mensen en ideeën reizen de wereld over."
200611,22110,11,NA,NA,Wij zien de voordelen en kansen van openheid.
200611,22110,12,NA,NA,Er is ook een keerzijde.
200611,22110,13,NA,NA,"Sommigen verliezen hun baan, omdat bedrijven zich elders vestigen."
200611,22110,14,NA,NA,"Als de tropische bossen straks werkelijk verdwenen zijn, hapt de wereld naar adem."
200611,22110,15,NA,NA,Wereldwijd zijn miljoenen op de vlucht voor armoede en geweld.
200611,22110,16,NA,NA,"Olieschaarste, gebrek aan schoon drinkwater en botsende culturen en religies zijn een bron van spanningen en conﬂict."
200611,22110,17,NA,NA,Radicalisering van islamitische jongeren vindt plaats in internationale netwerken via internet.
200611,22110,18,NA,NA,"Arme landen, vooral in Afrika, hebben nauwelijks invloed op het wereldtoneel."
200611,22110,19,NA,NA,Eenzijdig optreden van het Westen en het telkens niet nakomen van internationale afspraken over armoede en milieu voeden het wantrouwen in de rest van de wereld.
200611,22110,20,NA,NA,De afgelopen periode ontbrak de politieke moed om armoede en schending van mensenrechten aan de kaak te stellen.
200611,22110,21,NA,NA,In de Nederlandse politiek werd de brede blik naar buiten ingeruild voor oogkleppen.
